,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
182474,,136540,58219,IC 0676,31.51,,20.0,Tully-Fisher,2015AstBu..70....1K,,,,,35,
182524,,136590,58260,SDSS J111252.70+075518.8,32.04,,25.6,Tully-Fisher,2015AstBu..70....1K,,,,,35,
182560,,136626,58291,CGCG 039-068,31.78,,22.7,Tully-Fisher,2015AstBu..70....1K,,,,,35,
182713,,136779,58421,CGCG 039-078,35.05,,102.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
182714,,136780,58421,CGCG 039-078,35.08,,104.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
182715,,136781,58421,CGCG 039-078,35.12,,106.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
182716,,136782,58421,CGCG 039-078,35.12,,106.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
182847,,136911,58520,SDSS J111350.75+095739.4,31.45,,19.5,Tully-Fisher,2015AstBu..70....1K,,,,,35,
182878,,136942,58544,2MASX J11135527+0406189,31.54,,20.3,Tully-Fisher,2015AstBu..70....1K,,,,,35,
183099,,137163,58719,SDSS J111445.01+123851.7,30.21,,11.0,Tully-Fisher,2013AJ....145..101K,,,,,33,
183496,,137557,59022,ESO 019- G?006,33.4,,47.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
183497,,137558,59022,ESO 019- G?006,33.4,,47.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
183498,,137559,59022,ESO 019- G?006,33.41,,48.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
183560,,137621,59078,CGCG 039-094,33.0,,39.8,Tully-Fisher,2015AstBu..70....1K,,,,,35,
183758,,137819,59208,SDSS J111702.67+100836.1,33.24,,44.4,Tully-Fisher,2015AstBu..70....1K,,,,,35,
184224,,138283,59521,LSBC D570-04,31.99,,25.0,Tully-Fisher,2015AstBu..70....1K,,,,,35,
