,Galaxy ID,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
31,SDSS-II SN 14343,6,195.56206266517628,1452.3005138525318,35.15753439632541,197.0229059319294,115.96166194753718,1152.3137799011222,1543.8441624825434
32,SDSS-II SN 15370,6,1178.6333781481105,2750.34843555969,154.3339653131556,437.5706177577339,414.9297814220574,741.4089621573036,3114.2392853997444
33,SDSS J000254.37+005623.0,2,44.778754761829255,1985.7107054420123,96.88960527609032,107.11548892880906,92.611531011266,1931.8982181893912,2036.6796669748687
34,SDSS-II SN 20896,2,45.47373262564534,1983.2651423740467,96.88960527609032,107.11548892880906,92.9027633761549,1930.5701776355095,2036.9528517848348
35,NGC 7812,4,12.003854089485555,88.4513153960152,9.010963152252343,9.620121915575618,12.260803970737747,77.19753449761004,101.87994174912977
36,UGC 00004,3,13.334318599530336,123.63307962729375,10.12799979177674,11.63220099964609,14.31188661477264,109.67608063471796,136.08080418233232
37,SDSS-II SN 03560,6,631.6258406521258,2719.8523650854254,68.87166682077975,544.4817379698075,509.1964132357266,1853.8985385611593,3121.805782020531
38,UGC 00005,8,17.01349993769917,96.92639959541869,5.869095664299176,12.300886304327863,14.159569299731665,79.21928262364567,113.40381038840005
39,UGC 00006,4,15.291192342822884,103.98679388023973,10.510732960015966,14.942719365266424,15.011579953807153,89.51406888612775,121.70143631423193
40,IC 5381,5,26.94884521938376,175.64004270971242,12.765460117644466,28.06969597176481,26.078717287409006,148.62189484772105,203.81949705136515
41,NGC 7814,20,3.4163999925403825,16.312428301866913,0.29739689445701006,2.301764449205604,2.6040581129641476,13.133389288498586,19.902841783296907
42,UGC 00010,3,10.416827493718065,89.47567657507871,7.431033899243551,9.441628853655647,11.187056757380166,78.12222713294199,98.72224707210577
43,UGC 00014,25,22.236168696966523,84.613949602833,1.5944648681177098,15.48659116367385,14.710248770529754,66.41321623013097,111.36652209332757
44,SN 2006sr,2,1.2822548140196837,114.80820847069789,2.6198954918471924,3.368437060946362,2.600979241264008,113.30428519423043,116.30361718175662
45,UGC 00017,5,3.10758494814803,18.082922677756336,1.2428993361170695,3.5033965529587965,2.880749826051546,14.660701165963786,20.91654653431603
46,AGC 400737,3,12.324995584357731,119.98190758961344,9.495867497926264,10.665038689217832,13.118201519166044,109.42493284480648,133.86369171527346
47,AGC 101122,2,13.729818175946914,116.94255473988864,30.599570066623386,30.885867141888173,28.572641787206962,100.72188710541361,132.14738414972766
48,NGC 7817,23,5.909418067911625,25.816083290064736,1.0170065347534436,3.7937769637444516,4.282473706892311,20.361767363672367,32.196573245558355
49,ESO 193- G 013,3,11.66456052640361,108.46358622540542,8.809313212460012,8.977691210839644,12.283857363072894,98.09940907589225,120.95114695205561
50,MCG -02-01-014,2,2.4479194052652717,166.31517651758278,4.880096804336186,6.206140101166527,4.83489955058974,163.3770577128494,169.11954805457668
51,SN 2008hj,2,2.407642940345511,166.6284251033771,4.880096804336186,6.206140101166527,4.763033995829552,163.7177931694884,169.33149776047856
52,SDSS-II SN 11858,2,76.23578801991663,962.496287592931,166.56344219689925,166.56344219689925,156.69356506149936,871.5855236334631,1045.7085915045027
53,UGC 00023,3,9.616432366158243,101.95498928032511,7.624352969096851,11.616761936047649,10.644548687076055,91.26562072952086,110.662503901131
54,2MASX J00041398-5113247,3,17.74068043796144,156.3281756203648,12.83602797382255,13.23278825125455,18.30795257844098,140.9065356014846,175.56788681713832
55,UGC 00024,3,7.568479080343947,55.01012879563231,3.816804525171568,11.300326563784694,8.025437791129336,49.72636223271677,64.78985898382841
56,ESO 193- G 014,3,14.42086743301832,161.2370288440877,11.90875430180967,17.155685359269896,16.273285386442243,145.4515816981606,174.6461935643258
57,NGC 7819,2,3.359967433734041,38.36690483885179,3.6431545756968715,5.9578425883215775,4.648337414216425,35.66409151925279,41.64648030240391
58,UGC 00025,4,9.340952940510224,80.1606393000443,5.7331010350580875,5.873154454157113,8.776081040874757,71.66186812313322,90.46532600856898
59,UGC 00027,4,8.654225590005826,49.028999581779225,3.572400859709656,7.333218799469199,7.32384378792787,42.32287260675009,59.89336200473061
60,ESO 409- G 012,7,22.84148188696053,95.35664306490811,6.674661855397631,24.10470329963772,19.514069953553513,70.49220696219119,116.54698524362874
61,SDSS J000502.85+010847.0,3,55.4126995531947,805.4655365535043,17.17546112522512,98.64256485733344,41.795573805579544,717.487815346768,828.3725604585065
62,SDSS-II SN 04019,3,55.69415359882799,806.2185054319303,17.17546112522512,98.64256485733344,42.18816473817503,717.397201289609,828.6772156212788
63,IC 1528,4,6.359818687365556,48.442256890502264,4.931914429444302,4.991338444285058,6.560606739508051,42.25144276077237,55.627080508357466
64,NGC 7824,3,10.32774453769118,90.88683438860404,6.650378215438734,17.24343684889894,11.88107600950507,81.04469218027813,101.85531905170471
65,UGC 00036,7,12.968403561042342,91.30767311500388,5.6299261189967496,6.915533057964955,11.163659137405238,78.81982998820219,104.74544135066867
66,NGC 7821,5,12.831699515496924,93.52015647386983,6.558424719999403,9.348234483527468,11.704462355391458,80.33692930936232,106.34446466325385
67,SDSS-II SN 21858,2,49.52992217821243,1039.581670258595,107.72981297270834,107.72981297270834,103.44469800624543,979.5570115431492,1096.210114586943
68,ESO 193- G 019,3,32.9649660797275,155.3168540148812,14.31002255942075,20.71055327370985,29.750910002876648,113.06126464068836,177.3821726597771
69,ESO 193- G 018,3,10.069383861884557,141.0930222897493,9.710406945334064,10.649980779586524,11.95650670935128,130.86275080023776,151.54411768127744
70,UGC 00039,2,16.45962714948679,119.30199192987382,12.234108138833289,32.372887146467754,21.277014213184938,102.61859042286575,136.35258132622235
71,UGC 00040,13,18.52012849044246,104.94613610545397,2.4969048087967374,5.183627586225526,12.814875384783692,89.02169627913555,125.91228486811463
72,UGC 00041,8,14.067766704564143,89.45703751585,5.212907517542987,6.327757135534697,11.396043287465483,77.0626696619542,104.95109101053781
73,MRK 0335,3,44.58080364326188,145.51628086304575,13.62984226603455,54.26027326696215,43.8759890358796,105.11452069324142,195.26299605557918
74,ESO 293-IG 034,5,4.82301480283058,21.666628570937334,2.068057968527459,4.712811452705744,3.814189550250441,17.997669054316905,27.70860862618424
75,2MASX J00062236-5010027,3,18.72050117931439,169.54276700864648,13.939276054399249,14.738699345409854,19.640034000178396,150.51479349983597,187.24165371057944
76,SDSS-II SN 19078,6,143.35009002984154,1901.1621857601579,68.46467878455266,120.73487102342834,127.48380950984406,1752.64644479915,2045.4962255698536
77,SDSS-II SN 13168,2,43.737334370343,1008.7776127906673,95.40780963320742,95.40780963320742,89.98837863331323,957.810403303016,1059.8222997474772
78,SDSS-II SN 13101,4,126.09101234235203,1670.1394142925553,95.85415397758103,98.87391991916986,130.92026995929575,1543.6672413010908,1804.3121339860108
