,pgc,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
101,5341,2,1.4939394704697122,23.860017198941915,3.2471229664145786,3.333751689365292,3.1019871537221726,22.043311050442696,25.550831257333005
102,5344,2,4.199056668300191,65.25956491902258,8.883023363268638,9.92467035398027,8.527114958898057,60.18489730546926,69.89711863500784
103,5375,2,1.3225158963234378,21.151327132200883,2.8795155293404067,2.8795155293404067,2.7229889645933008,19.544973651177347,22.611493631812454
104,5424,2,6.264988033980099,81.03326982862772,12.434657176518934,17.0828312017347,12.448266167057573,73.57630919545669,88.1037826662968
105,5430,2,6.686659612127373,50.41010646028297,7.754133902116022,21.318828120077693,10.507598407437559,43.06848254385196,57.11855789911601
106,5440,2,3.6115330557075294,55.020435188005635,7.487318737805158,8.598678040103069,7.44675427205379,50.708227453002735,59.162860566400795
107,5450,2,3.94866187333747,63.192359428635434,8.61983068706266,8.84979577683446,8.207511257359956,58.51720547477838,67.6053182748407
108,5455,2,5.612390752708506,77.48221993511451,11.954933403363556,12.367380866456882,11.424999123834766,70.86296425624899,83.69719087969571
109,5474,2,21.655588150699863,83.15681463517714,11.408765904185469,61.848856601961245,28.91384463733858,61.12697263659552,104.31277152874485
110,5563,2,4.436343156278142,65.54204176455717,8.872309156077739,12.116805285726548,8.816937457843036,60.279757916690606,70.45157780321422
111,5577,3,19.60896927737946,73.4460299278985,5.255013141194862,17.989444609408352,13.060331721530728,66.97375848576186,106.1881378493394
112,5619,2,1.2078496074884684,18.936674982815177,2.594645596025563,2.8989006527260552,2.4925883264292756,17.481418206492663,20.3228208921759
113,5643,2,3.0366382025714387,47.22238658068827,6.457702680017424,7.214950104510837,6.122228534226641,43.6367870853574,50.587162635922574
114,5673,2,2.7349962069293094,59.63649977973809,4.351479139563545,4.512844693743029,4.6269373324847,56.98902710731863,62.006340320179554
115,5702,2,4.035915580800029,63.142603920417606,8.642034122539016,8.81201119129098,8.19108112417546,58.42076020311288,67.6767552878075
116,5792,2,2.1969487073411065,35.386106590055554,4.845286089670688,4.845286089670688,4.594981757299142,32.74253886938756,37.82916703153622
117,5794,2,1.5150666480043429,24.213604314243575,3.3182234787549496,3.363680713033772,3.1648117626777776,22.412495871139644,25.912808324509108
118,5897,2,1.841479285586237,29.04668832143587,3.96412199416362,4.177110346443109,3.8343911108919717,26.798343521694793,31.117274504694393
119,6045,2,4.675417132721272,73.52556855925253,10.046687025299416,10.244291708064434,9.551775672500103,68.09611928500416,78.87427950032303
120,6189,2,4.305938421826634,64.4452885411558,8.846703948213197,10.78652564506698,8.599226869553014,59.40815164891985,69.32221681730488
121,6190,2,1.9125663539622808,30.14243211237792,4.125710357554301,4.235778569702761,3.887667785651216,27.877953895303314,32.270461641660035
122,6228,2,1.2161349202068243,19.17004739460672,2.6236483875787675,2.659590451211013,2.5058702706896643,17.70450227554269,20.554487674189314
123,6275,2,2.915061868724063,45.24050334510818,6.195524029350841,6.922027686623633,5.920064161688849,41.761724831005765,48.52714977204045
124,6294,2,2.183987201234824,34.01171988765484,4.650490219952169,4.7745588286917,4.398216286468711,31.36824156760991,36.400515557859514
125,6309,2,0.8820396426106668,14.02183531070781,1.912047756932642,1.9630585308137265,1.8573181445994862,12.938292476251366,15.01532243812086
126,6387,2,21.948943046645617,134.36586381951753,19.73630381610114,70.03251446589776,33.33564057678478,111.10245663034269,156.48484733455342
127,6473,2,5.653917105020587,92.51603057727378,12.613931247202164,12.724794625614319,12.086354493624821,85.52168730149641,99.03383387111342
128,6502,2,3.7066778686076196,58.58048303120908,8.017202870833017,8.174890357858775,7.5870730743595995,54.286321551299395,62.640319496591076
129,6607,2,5.099741186998475,83.07123139549766,11.352328305501985,11.377354135388945,10.896276774292886,76.75730209015023,88.95096004970394
130,6624,3,5.36517956739118,59.363535852324176,4.092443704211716,4.451923669066717,5.7006095807036345,55.083882194296834,65.73516198888487
131,6675,2,1.5864190439252714,24.990582786961742,3.426933144549431,3.4738796217252523,3.2232508483708555,23.15469351672794,26.687252274990907
132,6778,2,1.2419549564733527,18.492644619271896,2.5331695131474903,3.041258911869857,2.4962474091702087,17.04115110534183,19.870750861525664
133,6793,2,2.6117417044300586,39.04085495587047,5.294895046179383,6.4559096289288025,5.2343578510559166,35.967570752170786,41.93219307241644
134,6799,2,3.755943583532633,59.942618436378616,8.181830149345405,8.253739954003018,7.776740181124352,55.57982550431284,64.18829103235028
135,6826,2,1.3269884924936657,20.70784789421729,2.831541122785988,2.8872336892902672,2.7698262090182584,19.074933055313565,22.220729507533214
136,6851,2,4.960555006463747,76.03104010780292,10.340958717042524,11.553567092386931,9.864107652052976,70.2222059199065,81.54408372661266
137,6864,2,2.6550893352032956,40.96872392250221,5.564723153905663,6.301868413282178,5.453709051623106,37.83344207188104,43.945581720447066
138,6865,2,4.068183804593049,62.46459532797445,8.561443821034773,10.124046970618442,8.37918052521132,57.52347005411997,67.09901479142889
139,6901,2,15.36196411800919,144.03490240010814,19.6522447140104,46.13558353977093,24.388465198319903,127.10507460818917,159.50300358447998
140,6966,2,4.544123914198511,71.05062470603981,9.75428155198532,11.046407360548459,9.326030783175465,65.69779270323629,76.3104775535088
141,6983,2,1.8491112149083047,25.23573252735503,2.937386713934863,4.797462680570019,3.249986170968551,23.30492358185678,27.259586576394483
142,7066,2,4.481652911559876,72.39400350167921,9.840785597239055,10.477166244295328,9.44509489015116,67.00615107850018,77.50847129467768
143,7097,2,3.5506302498142253,56.41789532936891,7.7304038648734394,7.734667739364706,7.400881062791992,52.160032007857744,60.50294779195335
144,7262,2,1.3025381669743088,21.02111836082607,2.8767732513263438,2.916182940423492,2.7141665974336324,19.45630636822993,22.489987815772473
145,7324,2,1.7991878371442993,28.91105835551385,3.942150661257256,3.996155241514897,3.7117684943907876,26.75248256025411,30.915807813216457
146,7397,2,2.5534895317215605,65.60685272484868,4.599228186152084,4.841767061750499,4.673258679135736,62.926427793380306,68.10958605356666
147,7504,2,4.345236076087711,70.08733206909349,9.599693257116234,9.932879616607831,9.091696711491585,64.83294268111179,74.97962016597069
148,7537,2,3.5116793721855935,54.774225115241386,7.47900051227491,8.146560343721564,7.144530921875663,50.570376623527146,58.609657967065395
149,7544,2,1.283447246094619,20.313099136518737,2.77685950876577,2.782981003125007,2.635918532986162,18.789101608865522,21.71633609736335
