,objname,j2000,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
1972,UGC02708                      ,J032348.8+403328,2,3.464704452255597,66.14315492287382,3.1240937477059734,10.030088862851352,5.1123334557395355,62.68886976901238,69.66106996364466
1973,UGC02730                      ,J032552.4+404455,2,5.368653772971146,73.98390306110984,11.651981114242245,11.651981114242245,11.008718640190512,67.57333238619526,79.92463403922238
1974,UGC02798                      ,J033810.0+405859,2,4.711465100651657,63.49771237339344,9.92418505732041,10.790238153418485,9.527572984591082,57.95408037824342,68.61962745180759
1975,UGC02801                      ,J033819.8+411733,2,5.973750084955991,79.75242775140542,12.581836415293887,13.41494261802819,12.033271315757684,72.79386575103051,86.41411727226546
1976,UGC02829                      ,J034150.9+080935,3,8.049378537440587,83.18153437542408,1.9674296365636619,9.367484591739089,6.02422813540136,70.95148023951083,87.07851894167229
1977,UGC02855                      ,J034820.7+700758,2,0.8055123107303855,14.69199026038638,0.8454061593118429,1.4329699800568345,1.1107832476683102,13.867768521309118,15.381534175472671
1978,UGC02868                      ,J034832.6+350900,2,6.140370090441357,84.57476715534506,13.266624218572169,13.288086920925451,12.771395248909899,77.26442888707724,91.6120432979153
1979,UGC02890                      ,J035604.4+725518,3,1.610699879531716,12.64289333635065,0.10866796515466136,1.761110836567293,1.863604131426381,11.665472824537094,14.92122144534133
1980,UGC02896                      ,J035901.4+793323,2,2.3422469743216223,38.8844174234682,5.0147111084240485,5.380600411243194,4.776221931918759,36.060884783592286,41.47116333077799
1981,UGC02906                      ,J040101.0+740502,2,4.884349768106975,65.4950064477956,10.285746997737743,10.868757590565714,9.837785110635199,59.6649285464033,70.9440927684727
1982,UGC02915                      ,J035955.1+323645,2,5.805343960208531,77.27444512088368,12.228786944892594,12.813737501490861,11.725488290841453,70.51329855487934,83.76257211834651
1983,UGC02920                      ,J040048.9+350050,2,4.908886254193455,67.23633732315777,10.55397753682097,11.058815429762383,10.047572045881923,61.205059099415266,72.75832525128779
1984,UGC02956                      ,J040628.4+311658,2,4.130075365200622,56.328057583914934,8.885094825178326,9.059608342920052,8.528064374341026,51.45565148970641,60.960713077840374
1985,UGC03009                      ,J041905.9+261048,2,3.1162295852099136,42.36902913409814,6.652075183606741,6.82222566019726,6.3126339170998,38.66439379710473,45.828922351078496
1986,UGC03066                      ,J043058.1+053232,2,4.718233644434228,64.26941962732057,10.15458237824902,10.354030096803989,9.653260885035746,58.732280492485,69.62484875401785
1987,UGC03070                      ,J043059.7-020012,2,2.055450527736617,28.495180727439173,4.464541057281496,4.608595400311097,4.222152116409136,26.037477279397585,30.784501905750425
1988,UGC03078                      ,J043221.8+331308,2,4.740150241361089,63.80009329968611,10.06148460741431,10.259103778294554,9.461130491944223,58.25625155308533,68.88025960629318
1989,UGC03084                      ,J043248.3+102330,2,3.320864873923382,45.86866842832945,7.217715708180582,7.217715708180582,6.799643540843964,42.07313951224361,49.53695496584557
1990,UGC03092                      ,J043819.1+721653,2,5.362166357203418,70.3710147463481,11.168795250963523,12.85052814203802,10.960163730758667,63.98402702627096,76.60191764799822
1991,UGC03108                      ,J043828.3+440214,5,8.939067075126017,52.853687724202096,1.203960065385384,8.189554104953249,6.726125326489035,40.00500482013094,57.80653520588699
1992,UGC03110                      ,J044108.6+734018,2,4.127814794943634,55.267701157406435,8.681534458096767,9.026104461005254,8.352607574639935,50.38681772293161,59.824203995116086
1993,UGC03114                      ,J044029.9+663807,2,4.071229686679099,55.13797988659345,8.68677931306913,8.718367705715556,8.284124342654925,50.40010128226908,59.49999889152202
1994,UGC03137                      ,J044613.6+762506,3,2.5694112186016653,22.05306709222937,2.592235128751175,2.8016027761279028,3.112745155253172,19.71519238565864,25.155090227805392
1995,UGC03143                      ,J044635.7+700715,2,5.152169897302052,68.00125879807963,10.746944793759159,11.808175927911734,10.457954819411219,62.017271631753275,73.7280771501408
1996,UGC03151                      ,J044519.6+110404,5,5.746276122558529,58.6264163429016,1.0865717061514395,5.474125989770831,3.4761563205291552,50.3193297555224,61.860208430943885
1997,UGC03167                      ,J044927.8+635530,2,5.943680631691387,68.4815949148658,10.893159692907949,17.212788237623176,11.345187668404046,61.58823469082284,75.23107870488712
1998,UGC03186                      ,J045146.1+034006,2,4.7532034905060305,65.43977337947605,10.33478417159096,10.43884221420414,9.973511928128925,59.74669230968985,70.79724175766609
1999,UGC03207                      ,J045609.8+020925,3,8.833951500588908,73.847969964717,3.718930582588419,5.8251046171300755,7.639858528893557,69.49997398356284,87.02942477452883
2000,UGC03214                      ,J045756.6-000733,2,5.05484409000933,69.88019697499935,10.9409620024633,11.66541771840726,10.358840093822163,63.81404450376791,75.39819555016092
2001,UGC03218                      ,J050043.7+621438,7,10.082382040745344,79.12753691061667,0.8268071718129465,8.66883301489888,7.121832600049049,72.31913684627256,90.30734475864591
2002,UGC03237                      ,J050327.7+003937,2,4.004808817354791,52.57590072447225,8.297062512531495,8.931094419869932,8.048266057723644,47.916298774175196,57.054306137441294
